x                 wf_exact_0        wf_0_b=0.9,dim=1
 3.09700000e-01    1.46733405e+00    1.43620544e+00    1.23538353e+00    1.84405641e+00    1.68925585e+00    2.66019493e+00
 4.09600000e-01    1.32783153e+00    1.34531521e+00    1.16785827e+00    1.59162453e+00    1.48557865e+00    1.92446626e+00
 5.09500000e-01    1.20159180e+00    1.24180817e+00    1.08285694e+00    1.31134296e+00    1.23585125e+00    1.15296495e+00
 6.09400000e-01    1.08735395e+00    1.13250936e+00    9.82318695e-01    1.02510920e+00    9.50663162e-01    4.31158276e-01
 7.09300000e-01    9.83976938e-01    1.02363938e+00    8.69264966e-01    7.51969394e-01    6.44540178e-01   -1.69282935e-01
 8.09200000e-01    8.90428190e-01    9.20192498e-01    7.47742678e-01    5.06084726e-01    3.35355674e-01   -5.99602581e-01
 9.09100000e-01    8.05773318e-01    8.25567640e-01    6.22544110e-01    2.95746549e-01    4.29187943e-02   -8.38752221e-01
 1.00900000e+00    7.29166761e-01    7.41481220e-01    4.98742320e-01    1.23494950e-01   -2.13092370e-01   -8.93408315e-01
 1.10890000e+00    6.59843351e-01    6.68137459e-01    3.81127942e-01   -1.28263898e-02   -4.15510265e-01   -7.93661272e-01
 1.20880000e+00    5.97110662e-01    6.04588926e-01    2.73658614e-01   -1.18411875e-01   -5.51931711e-01   -5.85556021e-01
 1.30870000e+00    5.40342101e-01    5.49195463e-01    1.79030725e-01   -1.99643001e-01   -6.16412761e-01   -3.22098237e-01
 1.40860000e+00    4.88970646e-01    5.00086033e-01    9.84559220e-02   -2.62437998e-01   -6.10274050e-01   -5.44214009e-02
 1.50850000e+00    4.42483183e-01    4.55543411e-01    3.16797277e-02   -3.11097307e-01   -5.41859843e-01    1.75437940e-01
 1.60840000e+00    4.00415381e-01    4.14260159e-01   -2.27717504e-02   -3.47792788e-01   -4.25296350e-01    3.39195270e-01
 1.70830000e+00    3.62347052e-01    3.75448158e-01   -6.71762113e-02   -3.72690891e-01   -2.78479593e-01    4.24037996e-01
 1.80820000e+00    3.27897959e-01    3.38815231e-01   -1.04119121e-01   -3.84567879e-01   -1.20651338e-01    4.31617242e-01
 1.90810000e+00    2.96724014e-01    3.04445081e-01   -1.36013857e-01   -3.81693810e-01    3.00291221e-02    3.74959952e-01
 2.00800000e+00    2.68513840e-01    2.72627866e-01   -1.64722019e-01   -3.62741154e-01    1.58542415e-01    2.74195777e-01
 2.10790000e+00    2.42985667e-01    2.43687966e-01   -1.91329433e-01   -3.27508612e-01    2.54420479e-01    1.52030795e-01
 2.20780000e+00    2.19884511e-01    2.17845595e-01   -2.16097212e-01   -2.77324002e-01    3.12375481e-01    2.97606571e-02
 2.30770000e+00    1.98979630e-01    1.95133634e-01   -2.38571821e-01   -2.15079708e-01    3.32155644e-01   -7.56396088e-02
 2.40760000e+00    1.80062220e-01    1.75374880e-01   -2.57810901e-01   -1.44937981e-01    3.17761106e-01   -1.53110895e-01
 2.50750000e+00    1.62943328e-01    1.58211274e-01   -2.72666759e-01   -7.18046923e-02    2.76234427e-01   -1.97828949e-01
 2.60740000e+00    1.47451965e-01    1.43167946e-01   -2.82068196e-01   -7.00317719e-04    2.16271485e-01   -2.10492820e-01
 2.70730000e+00    1.33433398e-01    1.29731707e-01   -2.85251420e-01    6.38442043e-02    1.46882284e-01   -1.95943809e-01
 2.80720000e+00    1.20747605e-01    1.17425309e-01   -2.81908394e-01    1.18265174e-01    7.62795492e-02   -1.61499344e-01
 2.90710000e+00    1.09267878e-01    1.05863910e-01   -2.72241067e-01    1.60256344e-01    1.11022526e-02   -1.15336369e-01
 3.00700000e+00    9.88795517e-02    9.47866845e-02   -2.56928309e-01    1.88854561e-01   -4.39921532e-02   -6.51635137e-02
 3.10690000e+00    8.94788657e-02    8.40629365e-02   -2.37025838e-01    2.04341799e-01   -8.63954763e-02   -1.73099955e-02
 3.20680000e+00    8.09719226e-02    7.36769688e-02   -2.13826479e-01    2.08010679e-01   -1.15348507e-01    2.37436396e-02
 3.30670000e+00    7.32737524e-02    6.36988243e-02   -1.88708937e-01    2.01852696e-01   -1.31566075e-01    5.54459828e-02
 3.40660000e+00    6.63074633e-02    5.42488306e-02   -1.62999112e-01    1.88227551e-01   -1.36782107e-01    7.69661002e-02
 3.50650000e+00    6.00034739e-02    4.54629997e-02   -1.37860757e-01    1.69561532e-01   -1.33295599e-01    8.88114814e-02
 3.60640000e+00    5.42988180e-02    3.74644161e-02   -1.14224080e-01    1.48107252e-01   -1.23576001e-01    9.23802988e-02
 3.70630000e+00    4.91365157e-02    3.03434402e-02   -9.27532809e-02    1.25780131e-01   -1.09961558e-01    8.95323909e-02
 3.80620000e+00    4.44650043e-02    2.41473870e-02   -7.38482450e-02    1.04072255e-01   -9.44613647e-02    8.22337323e-02
 3.90610000e+00    4.02376232e-02    1.88786782e-02   -5.76720507e-02    8.40333803e-02   -7.86544461e-02    7.23003006e-02
 4.00600000e+00    3.64121482e-02    1.44994473e-02   -4.41946528e-02    6.63026696e-02   -6.36680475e-02    6.12438430e-02
 4.10590000e+00    3.29503690e-02    1.09401906e-02   -3.32435696e-02    5.11727700e-02   -5.02124001e-02    5.02061913e-02
 4.20580000e+00    2.98177084e-02    8.11017327e-03   -2.45540728e-02    3.86691727e-02   -3.86491761e-02    3.99605072e-02
 4.30570000e+00    2.69828765e-02    5.90773716e-03   -1.78136154e-02    2.86311342e-02   -2.90740966e-02    3.09558462e-02
 4.40560000e+00    2.44175579e-02    4.22923935e-03   -1.26975154e-02    2.07846432e-02   -2.13990586e-02    2.33837746e-02
 4.50550000e+00    2.20961295e-02    2.97593895e-03   -8.89488776e-03    1.48020491e-02   -1.54243766e-02    1.72504824e-02
 4.60540000e+00    1.99954042e-02    2.05864005e-03   -6.12528247e-03    1.03464300e-02   -1.08963943e-02    1.24432623e-02
 4.70530000e+00    1.80943993e-02    1.40025382e-03   -4.14741163e-03    7.10129321e-03   -7.54931472e-03    8.78522980e-03
 4.80520000e+00    1.63741269e-02    9.36651877e-04   -2.76177378e-03    4.78773691e-03   -5.13249882e-03    6.07612202e-03
 4.90510000e+00    1.48174044e-02    6.16266679e-04   -1.80903607e-03    3.17189534e-03   -3.42579484e-03    4.11971781e-03
 5.00500000e+00    1.34086827e-02    3.98887337e-04   -1.16583445e-03    2.06555996e-03   -2.24591292e-03    2.73996485e-03
 5.10490000e+00    1.21338912e-02    2.54034435e-04   -7.39322738e-04    1.32253985e-03   -1.44673625e-03    1.78851351e-03
 5.20480000e+00    1.09802967e-02    1.59207222e-04   -4.61435264e-04    8.32802621e-04   -9.16005340e-04    1.14633898e-03
 5.30470000e+00    9.93637692e-03    9.82030629e-05   -2.83487873e-04    5.15867652e-04   -5.70230583e-04    7.21750544e-04
 5.40460000e+00    8.99170477e-03    5.96267041e-05   -1.71462208e-04    3.14404938e-04   -3.49112334e-04    4.46553735e-04
 5.50450000e+00    8.13684457e-03    3.56425387e-05   -1.02110854e-04    1.88573064e-04   -2.10256258e-04    2.71590786e-04
 5.60440000e+00    7.36325772e-03    2.09780084e-05   -5.98826124e-05    1.11323507e-04   -1.24594444e-04    1.62419650e-04
 5.70430000e+00    6.66321739e-03    1.21585195e-05   -3.45865588e-05    6.46967932e-05   -7.26612307e-05    9.55342983e-05
 5.80420000e+00    6.02973136e-03    6.94014171e-06   -1.96761962e-05    3.70197672e-05   -4.17101659e-05    5.52817014e-05
 5.90410000e+00    5.45647218e-03    3.90189020e-06   -1.10267789e-05    2.08593752e-05   -2.35716664e-05    3.14774471e-05
 6.00400000e+00    4.93771394e-03    2.16095773e-06   -6.08798895e-06    1.15755843e-05   -1.31164430e-05    1.76400596e-05
 6.10390000e+00    4.46827514e-03    1.17903093e-06   -3.31175505e-06    6.32720639e-06   -7.18757301e-06    9.73110588e-06
 6.20380000e+00    4.04346687e-03    6.33800862e-07   -1.77517413e-06    3.40689275e-06   -3.87924469e-06    5.28516665e-06
 6.30370000e+00    3.65904601e-03    3.35712968e-07   -9.37689933e-07    1.80729492e-06   -2.06236206e-06    2.82654917e-06
 6.40360000e+00    3.31117284e-03    1.75229855e-07   -4.88144356e-07    9.44642546e-07   -1.08015437e-06    1.48873611e-06
 6.50350000e+00    2.99637271e-03    9.01380128e-08   -2.50461732e-07    4.86536051e-07   -5.57387045e-07    7.72324147e-07
 6.60340000e+00    2.71150128e-03    4.56984249e-08   -1.26668971e-07    2.46950720e-07   -2.83414396e-07    3.94689454e-07
 6.70330000e+00    2.45371318e-03    2.28359835e-08   -6.31487767e-08    1.23534928e-07   -1.42011005e-07    1.98717020e-07
