terms      sum_up           sum_down         rel_diff      
 8744896   1.54036827e+01   1.65682945e+01   7.28520378e-02
 8791552   1.54036827e+01   1.65758858e+01   7.33094960e-02
 8838208   1.54036827e+01   1.65826683e+01   7.37180412e-02
 8884864   1.54036827e+01   1.65883827e+01   7.40621164e-02
 8931520   1.54036827e+01   1.65942955e+01   7.44180009e-02
 8978176   1.54036827e+01   1.65997620e+01   7.47469068e-02
 9024832   1.54036827e+01   1.66050282e+01   7.50636533e-02
 9071488   1.54036827e+01   1.66101170e+01   7.53696412e-02
 9118144   1.54036827e+01   1.66154900e+01   7.56926015e-02
 9164800   1.54036827e+01   1.66199303e+01   7.59594217e-02
 9211456   1.54036827e+01   1.66235199e+01   7.61750713e-02
 9258112   1.54036827e+01   1.66270943e+01   7.63897523e-02
 9304768   1.54036827e+01   1.66307945e+01   7.66119435e-02
 9351424   1.54036827e+01   1.66345291e+01   7.68361464e-02
 9398080   1.54036827e+01   1.66383018e+01   7.70625919e-02
 9444736   1.54036827e+01   1.66420174e+01   7.72855431e-02
 9491392   1.54036827e+01   1.66457558e+01   7.75098205e-02
 9538048   1.54036827e+01   1.66500244e+01   7.77658373e-02
 9584704   1.54036827e+01   1.66541901e+01   7.80156180e-02
 9631360   1.54036827e+01   1.66576633e+01   7.82238320e-02
 9678016   1.54036827e+01   1.66611519e+01   7.84329101e-02
 9724672   1.54036827e+01   1.66646996e+01   7.86454901e-02
 9771328   1.54036827e+01   1.66681595e+01   7.88527653e-02
 9817984   1.54036827e+01   1.66717682e+01   7.90689141e-02
 9864640   1.54036827e+01   1.66755657e+01   7.92963132e-02
 9911296   1.54036827e+01   1.66791668e+01   7.95118958e-02
 9957952   1.54036827e+01   1.66827583e+01   7.97268599e-02
