terms      sum_up           sum_down         rel_diff      
   26848   1.07751656e+01   1.07751827e+01   1.59311924e-06
   28144   1.08223276e+01   1.08223257e+01   1.76242011e-07
   29440   1.08673792e+01   1.08673449e+01   3.15920965e-06
   30736   1.09104033e+01   1.09104242e+01   1.92301013e-06
   32032   1.09517279e+01   1.09517260e+01   1.74159624e-07
   33328   1.09914608e+01   1.09913893e+01   6.50739776e-06
   34624   1.10295420e+01   1.10295372e+01   4.32327340e-07
   35920   1.10662622e+01   1.10662832e+01   1.89592606e-06
   37216   1.11017008e+01   1.11017284e+01   2.49119671e-06
   38512   1.11359434e+01   1.11359596e+01   1.45586694e-06
   39808   1.11690855e+01   1.11690598e+01   2.30540240e-06
   41104   1.12012205e+01   1.12010965e+01   1.10682895e-05
   42400   1.12321348e+01   1.12321396e+01   4.24529333e-07
   43696   1.12621784e+01   1.12622480e+01   6.18157583e-06
   44992   1.12914867e+01   1.12914762e+01   9.29055886e-07
   46288   1.13199139e+01   1.13198786e+01   3.11716190e-06
   47584   1.13474054e+01   1.13474913e+01   7.56387544e-06
   48880   1.13744917e+01   1.13743620e+01   1.14027462e-05
   50176   1.14004469e+01   1.14005308e+01   7.36138099e-06
   51472   1.14260950e+01   1.14260311e+01   5.59214322e-06
   52768   1.14508142e+01   1.14508991e+01   7.41228496e-06
   54064   1.14752560e+01   1.14751625e+01   8.14452142e-06
   55360   1.14987392e+01   1.14988499e+01   9.62067952e-06
   56656   1.15222225e+01   1.15219908e+01   2.01128896e-05
   57952   1.15444918e+01   1.15446062e+01   9.91298293e-06
   59248   1.15667391e+01   1.15667219e+01   1.48409595e-06
   60544   1.15883894e+01   1.15883608e+01   2.46887316e-06
   61840   1.16094007e+01   1.16095409e+01   1.20754967e-05
   63136   1.16304121e+01   1.16302805e+01   1.13158330e-05
   64432   1.16505823e+01   1.16505995e+01   1.47341348e-06
   65728   1.16703577e+01   1.16705141e+01   1.34016063e-05
   67024   1.16901331e+01   1.16900387e+01   8.07639572e-06
   68320   1.17092695e+01   1.17091904e+01   6.76004902e-06
   69616   1.17278090e+01   1.17279825e+01   1.47996479e-05
   70912   1.17463484e+01   1.17464275e+01   6.73866452e-06
   72208   1.17648878e+01   1.17645378e+01   2.97498536e-05
   73504   1.17822933e+01   1.17823277e+01   2.91388301e-06
   74800   1.17995968e+01   1.17998047e+01   1.76191752e-05
   76096   1.18169003e+01   1.18169832e+01   7.02124680e-06
   77392   1.18342037e+01   1.18338699e+01   2.82055917e-05
   78688   1.18505383e+01   1.18504763e+01   5.23090102e-06
   79984   1.18666058e+01   1.18668070e+01   1.69571304e-05
   81280   1.18826733e+01   1.18828821e+01   1.75762507e-05
   82576   1.18987408e+01   1.18987007e+01   3.36627113e-06
   83872   1.19148083e+01   1.19142733e+01   4.49040635e-05
   85168   1.19296532e+01   1.19296064e+01   3.91714093e-06
   86464   1.19444847e+01   1.19447088e+01   1.87627484e-05
   87760   1.19593163e+01   1.19595861e+01   2.25670756e-05
   89056   1.19741478e+01   1.19742460e+01   8.20334390e-06
