# Spherical Bessel functions via up and down recursion
x        down          up            gsl           rel_up_down   rel_down_gsl  rel_up_gsl   
6.000000  1.957901e-03  1.957901e-03  1.957901e-03  1.956978e-13  2.215029e-16  1.954763e-13
6.100000  2.245565e-03  2.245565e-03  2.245565e-03  6.566341e-15  2.896915e-16  6.856033e-15
6.200000  2.567194e-03  2.567194e-03  2.567194e-03  1.197727e-13  1.266989e-15  1.210397e-13
6.300000  2.925670e-03  2.925670e-03  2.925670e-03  3.424183e-14  5.632855e-15  3.987468e-14
6.400000  3.323985e-03  3.323985e-03  3.323985e-03  5.675452e-14  6.523508e-17  5.668929e-14
6.500000  3.765233e-03  3.765233e-03  3.765233e-03  1.497345e-14  5.183116e-16  1.445513e-14
6.600000  4.252595e-03  4.252595e-03  4.252595e-03  1.121783e-14  2.039606e-16  1.142179e-14
6.700000  4.789324e-03  4.789324e-03  4.789324e-03  6.519714e-15  0.000000e+00  6.519714e-15
6.800000  5.378731e-03  5.378731e-03  5.378731e-03  2.499494e-15  2.418865e-16  2.257608e-15
6.900000  6.024163e-03  6.024163e-03  6.024163e-03  7.918925e-16  3.599511e-16  1.151844e-15
7.000000  6.728985e-03  6.728985e-03  6.728985e-03  1.147204e-14  1.288993e-16  1.160094e-14
7.100000  7.496556e-03  7.496556e-03  7.496556e-03  7.751992e-15  5.785068e-17  7.694141e-15
7.200000  8.330202e-03  8.330202e-03  8.330202e-03  2.186573e-14  1.041225e-16  2.196986e-14
7.300000  9.233193e-03  9.233193e-03  9.233193e-03  6.293948e-15  1.878790e-16  6.481827e-15
7.400000  1.020871e-02  1.020871e-02  1.020871e-02  8.921102e-15  1.699258e-16  9.091028e-15
7.500000  1.125983e-02  1.125983e-02  1.125983e-02  1.771725e-15  1.540630e-16  1.617662e-15
7.600000  1.238946e-02  1.238946e-02  1.238946e-02  3.920449e-15  2.800321e-16  3.640417e-15
7.700000  1.360035e-02  1.360035e-02  1.360035e-02  9.693797e-15  1.913249e-16  9.502472e-15
7.800000  1.489500e-02  1.489500e-02  1.489500e-02  4.250917e-15  1.164635e-16  4.134453e-15
7.900000  1.627570e-02  1.627570e-02  1.627570e-02  1.012545e-14  1.065837e-16  1.001887e-14
8.000000  1.774441e-02  1.774441e-02  1.774441e-02  2.052995e-15  2.932850e-16  1.759710e-15
8.100000  1.930280e-02  1.930280e-02  1.930280e-02  5.751615e-15  1.797380e-16  5.931353e-15
8.200000  2.095216e-02  2.095216e-02  2.095216e-02  2.566629e-15  1.655890e-16  2.732218e-15
8.300000  2.269338e-02  2.269338e-02  2.269338e-02  1.528837e-15  3.057673e-16  1.223069e-15
8.400000  2.452691e-02  2.452691e-02  2.452691e-02  1.838911e-15  2.829094e-16  1.556002e-15
8.500000  2.645274e-02  2.645274e-02  2.645274e-02  2.951020e-15  3.934693e-16  2.557550e-15
8.600000  2.847034e-02  2.847034e-02  2.847034e-02  2.437236e-16  0.000000e+00  2.437236e-16
8.700000  3.057865e-02  3.057865e-02  3.057865e-02  3.403794e-16  5.672990e-17  3.971093e-16
8.800000  3.277602e-02  3.277602e-02  3.277602e-02  1.376092e-15  3.175597e-16  1.058532e-15
8.900000  3.506020e-02  3.506020e-02  3.506020e-02  2.177050e-15  9.895684e-17  2.078094e-15
9.000000  3.742834e-02  3.742834e-02  3.742834e-02  3.707829e-16  4.634786e-16  9.269573e-17
9.100000  3.987688e-02  3.987688e-02  3.987688e-02  3.480159e-16  8.700397e-17  4.350198e-16
9.200000  4.240163e-02  4.240163e-02  4.240163e-02  1.309175e-15  6.545874e-16  6.545874e-16
9.300000  4.499769e-02  4.499769e-02  4.499769e-02  1.542056e-16  3.084111e-16  4.626167e-16
9.400000  4.765945e-02  4.765945e-02  4.765945e-02  5.095764e-16  0.000000e+00  5.095764e-16
9.500000  5.038057e-02  5.038057e-02  5.038057e-02  2.203673e-15  3.098915e-15  8.952421e-16
9.600000  5.315403e-02  5.315403e-02  5.315403e-02  1.305431e-16  1.370703e-15  1.240160e-15
9.700000  5.597205e-02  5.597205e-02  5.597205e-02  4.958828e-16  6.198535e-17  5.578682e-16
9.800000  5.882614e-02  5.882614e-02  5.882614e-02  2.359119e-16  2.948899e-16  5.897798e-17
9.900000  6.170714e-02  6.170714e-02  6.170714e-02  5.622440e-17  6.746929e-16  7.309173e-16
10.000000  6.460515e-02  6.460515e-02  6.460515e-02  1.074046e-16  1.074046e-16  2.148093e-16
10.100000  6.750966e-02  6.750966e-02  6.750966e-02  1.027837e-16  4.111349e-16  3.083511e-16
10.200000  7.040949e-02  7.040949e-02  7.040949e-02  0.000000e+00  9.855054e-17  9.855054e-17
10.300000  7.329287e-02  7.329287e-02  7.329287e-02  5.680411e-16  1.893470e-16  3.786941e-16
10.400000  7.614748e-02  7.614748e-02  7.614748e-02  4.556221e-16  9.112441e-17  3.644976e-16
10.500000  7.896045e-02  7.896045e-02  7.896045e-02  8.787809e-17  8.787809e-17  0.000000e+00
10.600000  8.171851e-02  8.171851e-02  8.171851e-02  1.698243e-16  1.698243e-16  0.000000e+00
10.700000  8.440794e-02  8.440794e-02  8.440794e-02  8.220665e-17  2.466200e-16  1.644133e-16
10.800000  8.701470e-02  8.701470e-02  8.701470e-02  0.000000e+00  1.594879e-16  1.594879e-16
10.900000  8.952449e-02  8.952449e-02  8.952449e-02  7.750833e-17  0.000000e+00  7.750833e-17
11.000000  9.192281e-02  9.192281e-02  9.192281e-02  3.019444e-16  1.509722e-16  1.509722e-16
11.100000  9.419506e-02  9.419506e-02  9.419506e-02  0.000000e+00  7.366516e-17  7.366516e-17
11.200000  9.632661e-02  9.632661e-02  9.632661e-02  7.203507e-17  0.000000e+00  7.203507e-17
11.300000  9.830288e-02  9.830288e-02  9.830288e-02  0.000000e+00  7.058688e-17  7.058688e-17
11.400000  1.001095e-01  1.001095e-01  1.001095e-01  1.386261e-16  6.931306e-17  2.079392e-16
11.500000  1.017322e-01  1.017322e-01  1.017322e-01  1.364149e-16  4.092446e-16  2.728298e-16
11.600000  1.031573e-01  1.031573e-01  1.031573e-01  2.017955e-16  2.690607e-16  4.708563e-16
11.700000  1.043713e-01  1.043713e-01  1.043713e-01  1.329655e-16  1.329655e-16  0.000000e+00
11.800000  1.053616e-01  1.053616e-01  1.053616e-01  6.585793e-17  0.000000e+00  6.585793e-17
11.900000  1.061158e-01  1.061158e-01  1.061158e-01  1.307797e-16  1.961696e-16  6.538985e-17
12.000000  1.066225e-01  1.066225e-01  1.066225e-01  6.507906e-17  6.507906e-17  0.000000e+00
12.100000  1.068713e-01  1.068713e-01  1.068713e-01  1.298551e-16  6.492756e-17  6.492756e-17
12.200000  1.068525e-01  1.068525e-01  1.068525e-01  5.195121e-16  5.195121e-16  0.000000e+00
12.300000  1.065575e-01  1.065575e-01  1.065575e-01  1.302376e-16  6.511880e-17  6.511880e-17
12.400000  1.059788e-01  1.059788e-01  1.059788e-01  1.244013e-15  1.178538e-15  6.547435e-17
12.500000  1.051103e-01  1.051103e-01  1.051103e-01  6.667550e-15  6.469504e-15  1.980460e-16
12.600000  1.039470e-01  1.039470e-01  1.039470e-01  4.672789e-16  6.007871e-16  1.335083e-16
12.700000  1.024855e-01  1.024855e-01  1.024855e-01  1.354123e-16  1.354123e-16  0.000000e+00
12.800000  1.007235e-01  1.007235e-01  1.007235e-01  2.755621e-16  6.889052e-17  2.066716e-16
12.900000  9.866054e-02  9.866054e-02  9.866054e-02  1.406620e-16  0.000000e+00  1.406620e-16
13.000000  9.629760e-02  9.629760e-02  9.629760e-02  2.161703e-16  4.323406e-16  2.161703e-16
13.100000  9.363725e-02  9.363725e-02  9.363725e-02  7.410399e-17  7.410399e-17  0.000000e+00
13.200000  9.068374e-02  9.068374e-02  9.068374e-02  2.295525e-16  0.000000e+00  2.295525e-16
13.300000  8.744298e-02  8.744298e-02  8.744298e-02  7.935335e-17  7.935335e-17  0.000000e+00
13.400000  8.392256e-02  8.392256e-02  8.392256e-02  8.268211e-17  7.441390e-16  6.614569e-16
13.500000  8.013175e-02  8.013175e-02  8.013175e-02  8.659357e-17  5.195614e-16  6.061550e-16
13.600000  7.608152e-02  7.608152e-02  7.608152e-02  3.648136e-16  6.384239e-16  2.736102e-16
13.700000  7.178450e-02  7.178450e-02  7.178450e-02  0.000000e+00  9.666285e-17  9.666285e-17
